directions	positions	probs
GtoT	pos3	0.00298890740292
GtoT	pos0:pos1:pos3	0.00522938574211
CtoA	pos1	4.33647375849e-220
CtoA	pos2	5.49472387873e-108
CtoA	pos0:pos1	4.77258598354e-64
CtoA	pos0	3.58226120433e-43
CtoA	pos1:pos2	2.4711622791e-36
CtoA	pos2:pos3	3.83216206163e-28
CtoA	pos3	1.54436163558e-25
CtoA	pos1:pos3	1.25634281395e-15
CtoA	pos0:pos2	1.18978214217e-07
CtoA	pos0:pos3	2.52552357941e-07
CtoA	pos0:pos1:pos2:pos3	0.000103660915123
CtoA	pos0:pos2:pos3	0.000617823257761
CtoA	pos0:pos1:pos3	0.00116989125903
CtoA	pos0:pos1:pos2	0.00391537178564
CtoA	pos1:pos2:pos3	0.0135665051082
CtoT	pos2	2.19774951307e-233
CtoT	pos1	4.68388782695e-222
CtoT	pos2:pos3	3.52387965211e-165
CtoT	pos3	8.92526734781e-51
CtoT	pos1:pos2	2.45152691761e-32
CtoT	pos1:pos2:pos3	4.23859792813e-19
CtoT	pos0:pos1:pos2:pos3	2.94107382054e-13
CtoT	pos0:pos2:pos3	3.97740009611e-12
CtoT	pos1:pos3	1.95065353413e-09
CtoT	pos0	5.09675818591e-08
CtoT	pos0:pos1:pos2	5.25149841303e-08
CtoT	pos0:pos2	7.68663611451e-08
CtoT	pos0:pos1	1.48087965585e-07
CtoT	pos0:pos1:pos3	8.90036386127e-06
TtoC	pos2	0
TtoC	pos1	0
TtoC	pos3	1.41438840017e-223
TtoC	pos1:pos2	4.75809369987e-79
TtoC	pos2:pos3	6.73710920265e-66
TtoC	pos0	1.77793305427e-48
TtoC	pos1:pos3	3.75270138351e-18
TtoC	pos0:pos1	5.71466080816e-17
TtoC	pos0:pos2	4.50078546171e-09
TtoC	pos0:pos1:pos2	2.36561898649e-07
TtoC	pos0:pos3	2.8354524234e-07
TtoC	pos1:pos2:pos3	4.82058284821e-05
TtoC	pos0:pos2:pos3	0.00495093310986
TtoC	pos0:pos1:pos3	0.00593726972433
AtoT	pos2	2.80395290118e-101
AtoT	pos0:pos1	6.86231927385e-38
AtoT	pos0	5.63403403365e-25
AtoT	pos1	5.5882965595e-18
AtoT	pos2:pos3	9.90685209001e-16
AtoT	pos1:pos2	1.55068499998e-13
AtoT	pos0:pos2	4.94702492624e-09
AtoT	pos3	2.36716172539e-06
AtoT	pos0:pos1:pos2	5.11436074802e-05
AtoT	pos1:pos3	0.00109921374086
AtoG	pos1	0
AtoG	pos2	6.72092264899e-302
AtoG	pos0	2.17535755028e-239
AtoG	pos1:pos2	1.342337669e-70
AtoG	pos0:pos1	6.18568217413e-56
AtoG	pos0:pos2	3.28267345082e-22
AtoG	pos3	4.42341361971e-19
AtoG	pos2:pos3	9.50754136038e-17
AtoG	pos1:pos3	9.39233228073e-08
AtoG	pos0:pos1:pos2	0.000136370602525
AtoG	pos0:pos2:pos3	0.0011055803595
AtoG	pos0:pos1:pos2:pos3	0.00416005844834
AtoG	pos1:pos2:pos3	0.0100360454876
